source_id,title,authors,year,source_type,venue,url_or_doi,raw_path,processed_path,tags,relevance_note
strubell2019,Energy and Policy Considerations for Deep Learning in NLP,"Strubell E.; Ganesh A.; McCallum A.",2019,peer-reviewed paper,ACL 2019,https://arxiv.org/abs/1906.02629,data/raw/strubell2019.pdf,data/processed/strubell2019.json,"training; energy; NLP; GPU-hours",Foundational paper on NLP training carbon costs; introduces GPU-hour energy estimation formula
luccioni2022,Estimating the Carbon Footprint of BLOOM,"Luccioni A.S.; Viguier S.; Ligozat A.L.",2022,peer-reviewed paper,arXiv,https://arxiv.org/abs/2211.02001,data/raw/luccioni2022.pdf,data/processed/luccioni2022.json,"lifecycle; BLOOM; embodied; operational",Lifecycle analysis of BLOOM-176B; covers embodied and operational emissions
patterson2021,Carbon Emissions and Large Neural Network Training,"Patterson D. et al.",2021,technical report,arXiv / Google,https://arxiv.org/abs/2104.10350,data/raw/patterson2021.pdf,data/processed/patterson2021.json,"training; hardware; efficiency; Google",Google analysis of training emissions across multiple large models; hardware efficiency focus
schwartz2020,Green AI,"Schwartz R.; Dodge J.; Smith N.A.; Etzioni O.",2020,peer-reviewed paper,Communications of the ACM,https://arxiv.org/abs/1907.10597,data/raw/schwartz2020.pdf,data/processed/schwartz2020.json,"Green AI; Red AI; efficiency; reporting",Coins Red AI vs Green AI; argues for efficiency reporting as standard practice
henderson2020,Towards the Systematic Reporting of the Energy and Carbon Footprints of ML,"Henderson P. et al.",2020,peer-reviewed paper,JMLR,https://arxiv.org/abs/2002.05651,data/raw/henderson2020.pdf,data/processed/henderson2020.json,"reporting; standards; measurement; methodology",Proposes systematic ML reporting framework; covers measurement methodology gaps
luccioni2023,Power Hungry Processing: Watts Driving the Cost of AI Deployment?,"Luccioni A.S.; Jernite Y.; Strubell E.",2023,peer-reviewed paper,ACM FAccT 2023,https://arxiv.org/abs/2311.16863,data/raw/luccioni2023.pdf,data/processed/luccioni2023.json,"inference; deployment; energy; cost",Focuses on inference-time energy; shows inference can dominate lifecycle costs at scale
bannour2021,Evaluating the carbon footprint of NLP methods: a survey and analysis of existing tools,"Bannour N. et al.",2021,peer-reviewed paper,EMNLP 2021 SustaiNLP,https://aclanthology.org/2021.sustainlp-1.2,data/raw/bannour2021.pdf,data/processed/bannour2021.json,"tools; CodeCarbon; mlco2; NLP",Comparative evaluation of carbon estimation tools for NLP; benchmarks CodeCarbon vs mlco2
dodge2022,Measuring the Carbon Intensity of AI in Cloud Instances,"Dodge J. et al.",2022,peer-reviewed paper,ACM FAccT 2022,https://arxiv.org/abs/2206.05229,data/raw/dodge2022.pdf,data/processed/dodge2022.json,"cloud; carbon intensity; shifting; real-time",Measures real-time carbon intensity of cloud AI workloads; introduces spatial/temporal shifting
lacoste2019,Quantifying the Carbon Emissions of Machine Learning,"Lacoste A. et al.",2019,tool/paper,NeurIPS 2019 Workshop,https://arxiv.org/abs/1910.09700,data/raw/lacoste2019.pdf,data/processed/lacoste2019.json,"calculator; mlco2; hardware; estimation",Introduces the mlco2.ai calculator; methodology for estimating training emissions from hardware specs
canziani2016,An Analysis of Deep Neural Network Models for Practical Applications,"Canziani A.; Paszke A.; Culurciello E.",2016,peer-reviewed paper,arXiv,https://arxiv.org/abs/1605.07678,data/raw/canziani2016.pdf,data/processed/canziani2016.json,"CNN; benchmarking; energy; hardware",Early energy benchmarking of CNN architectures; baseline for hardware energy analysis
